,serie,cpu_manufacturer,core,cpu_frequency,cpu_series,memory_size,memory_type,RAM,resolution,matrix_type,videocard,weight,laptop_class,prices
57,Asus ExpertBook B5,Intel,12.0,3.3,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.2,Non-gaming,569990
58,HP Envy,Intel,4.0,2.4,Intel Core i5,512.0,SSD,8.0,1920x1080 Full HD,IPS,Integrated,1.3,Non-gaming,543990
59,HP Victus,AMD,6.0,3.3,AMD Ryzen 5,512.0,SSD,16.0,1920x1080 Full HD,IPS,NGF RTX 3050 Ti,1.8,Gaming,529890
60,Asus Vivobook S 16X,AMD,6.0,3.3,AMD Ryzen 5,512.0,SSD,16.0,2560x1600 WQXGA,IPS,Integrated,1.9,Non-gaming,519990
61,Lenovo IdeaPad 5 Pro,Intel,4.0,2.8,Intel Core i7,512.0,SSD,8.0,2240x1400,IPS,Integrated,1.38,Gaming,499990
62,Lenovo IdeaPad 3,Intel,2.0,3.0,Intel Core i3,1000.0,HDD,8.0,1920x1080 Full HD,TN,Integrated,1.6,Non-gaming,239990
63,Gigabyte U4 UD,Intel,4.0,1.3,Intel Core i7,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.0,Non-gaming,479990
64,Lenovo IdeaPad 5 Pro,AMD,6.0,3.3,AMD Ryzen 5,512.0,SSD,8.0,2560x1600 WQXGA,IPS,Integrated,1.9,Non-gaming,459990
65,Lenovo V15,Intel,2.0,1.2,Intel Core i3,1000.0,HDD,4.0,1920x1080 Full HD,TN,Integrated,1.85,Non-gaming,239990
66,Asus Laptop Series,Intel,4.0,1.8,Intel Core i7,512.0,SSD,16.0,1920x1080 Full HD,IPS,Integrated,1.6,Non-gaming,419990
67,"Apple MacBook Pro Series, Apple MacBook Pro 2021",Apple,10.0,3.2,Apple M1 Pro,512.0,SSD,16.0,3456x2234,Liquid Retina XDR,Integrated,2.15,Gaming,1572990
